s.no,year,month,state,occupation,item,men,women,"rural_wages_|__official_website_of_labour_bureau,_ministry_of_labour_and
employment,government_of_india"
26.0,2022-2023,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",472.86,308.25,
27.0,2019-2020,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",413.52,240.9,
28.0,2017-2018,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",387.89,214.1,
29.0,2021-2022,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
30.0,2022-2023,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,678.12,,
31.0,2019-2020,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,596.76,,
32.0,2024-2025,Jan,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
33.0,2017-2018,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,496.05,,
34.0,2015-2016,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,451.49,,
35.0,2023-2024,Jan,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,374.94,
36.0,2020-2021,Jan,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,542.02,308.81,
37.0,2018-2019,Jan,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,444.36,265.83,
38.0,2016-2017,Jan,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
39.0,2015-2016,Jan,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
43.0,2017-2018,Jan,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
44.0,2023-2024,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",553.98,353.54,
45.0,2024-2025,Jan,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),595.48,397.88,
46.0,2023-2024,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
47.0,2020-2021,Jan,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),484.05,292.41,
48.0,2018-2019,Jan,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),404.67,254.94,
49.0,2016-2017,Jan,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),359.23,234.06,
50.0,2015-2016,Jan,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),377.14,190.32,
54.0,2024-2025,Jan,TAMIL,Agriculture,General agricultural labourers (including,582.8,372.37,
55.0,2017-2018,Jan,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
57.0,2016-2017,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
58.0,2020-2021,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",440.2,286.11,
59.0,2018-2019,Jan,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.25,220.0,
60.0,2024-2025,Jan,TAMIL NADU,Agriculture,Ploughing/Tilling workers,712.71,,
61.0,2017-2018,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
62.0,2015-2016,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),320.35,211.72,
63.0,2021-2022,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.5,301.89,
64.0,2019-2020,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),441.67,262.73,
66.0,2023-2024,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,376.67,
67.0,2016-2017,Feb,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
69.0,2019-2020,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",417.87,246.17,
71.0,2017-2018,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.22,218.6,
72.0,2015-2016,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",360.38,196.03,
73.0,2021-2022,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",456.7,293.12,
74.0,2023-2024,Feb,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",553.98,353.54,
75.0,2017-2018,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
76.0,2015-2016,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,451.49,,
77.0,2021-2022,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
78.0,2019-2020,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,602.31,,
79.0,2023-2024,Feb,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
80.0,2016-2017,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
81.0,2020-2021,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,546.54,314.37,
82.0,2018-2019,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,446.67,281.39,
83.0,2017-2018,Feb,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
84.0,2015-2016,Feb,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
87.0,2024-2025,Feb,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
89.0,2016-2017,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),359.23,235.19,
90.0,2020-2021,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),484.05,292.41,
91.0,2018-2019,Feb,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),411.33,257.41,
92.0,2017-2018,Feb,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
